"";"Pel_CHP1_PubGel1";"Pel_PV1_PubGel1";"Pel_PubGel1_Demel1";"Pel_CHP1_Demel1";"Pel_PV1_Demel1";"Pel_PubGel1_Demel2";"Pel_CHP1_Demel2";"Pel_PV1_Demel2";"Pfuel_PubGfuel1_GaBo1";"Pfuel_PubGfuel1_CHP1";"Pth_CHP1_TS1";"Pth_GaBo1_Demth1";"Pth_TS1_Demth1";"Eth_TS1";"Op_CHP1";"epex"
"3169";0;0;7,812;0;0;22;0;0;0;0;0;0;4,8;64,8054983021102;0;0,014386088
"3170";0;0;7,56;0;0;22;0;0;0;0;0;0;4,635;60,0084365439229;0;0,014386088
"3171";0;0;7,632;0;0;22;0;0;0;0;0;0;4,425;55,4333709941289;0;0,014386088
"3172";0;0;7,776;0;0;21,95456695;0;0,04543305;0;0;0;0;4,845;50,449746497737;0;0,014386088
"3173";0;0;7,587;0;0;1,75703195000001;20;0,24296805;0;52,5003281270508;29,0001312508203;0;7,29;72,0337160056229;1;0,018994492
"3174";0;0;7,2;0;0;0,538241000000011;20;1,461759;0;52,5003281270508;29,0001312508203;0;11,295;89,5587095988294;1;0,018994492
"3175";0;0;6,09082040000001;0;1,27117959999999;0;20;2,00000000000001;0;52,5003281270508;29,0001312508203;0;12,855;105,479877724316;1;0,018994492
"3176";0;0;0;7,875;0;5,28566934500001;12,125;4,589330655;0;52,5003281270508;29,0001312508203;0;11,475;122,741231133977;1;0,018994492
"3177";0;1,088747694;0;0;8,442;0;0;0;0;0;0;0;10,935;111,499287120879;0;0,05800686
"3178";0;2,877620034;0;0;8,811;0;0;0;0;0;0;0;10,17;101,05045629663;0;0,05800686
"3179";0;19,046045049;0;0;9,22149;0;0;0;0;0;0;0;9,675;91,1227552906641;0;0,05800686
"3180";0;20,767603236;0;0;9,12924;0;0;0;0;0;0;0;9,24;81,6548808923464;0;0,05800686
"3181";0;20,339706438;0;0;8,802;0;0;0;0;0;0;0;9,03;72,420683194486;0;0,037467278
"3182";0;18,179702286;0;0;8,523;0;0;0;0;0;0;0;8,745;63,4945778322077;0;0,037467278
"3183";0;10,982187894;0;0;8,37;0;0;0;0;0;0;0;8,43;54,9057943464165;0;0,037467278
"3184";0;10,66759518;0;0;8,325;0;0;0;0;0;0;0;8,52;46,2484891825094;0;0,037467278
"3185";0;2,115595392;0;0;8,514;0;0;0;0;0;0;0;8,775;37,3578336954475;0;0,0527407
"3186";0;0;4,8712647;0;3,8677353;0;0;0;0;0;0;0;9,24;28,0244114339207;0;0,0527407
"3187";0;-4,44089209850063e-16;7,155213;0;1,619787;0;0;0;0;0;0;0;9,975;17,9793296428977;0;0,0527407
"3188";0;8,46545056276682e-16;8,62609659;0;0,103903409999999;0;0;0;0;0;0;0;10,68;7,25436799844939;0;0,0527407
"3189";0;0;8,829;0;0;22;0;0;4,12641477343155;0;0;3,71377329608839;7,23622670391161;0;0;0,029379276
"3190";0;0;8,73;0;0;2,00000000000001;20;0;0;52,5003281270508;29,0001312508203;0;10,47;18,5301312508203;1;0,029379276
"3191";0;0;8,073;0;0;2,00000000000001;20;0;2,24797872570961;52,5003281270508;29,0001312508203;2,02318085313865;6,60181914686135;40,8821042982389;1;0,029379276
"3192";0;0;7,65;0;0;2,00000000000001;20;0;7,01666666666667;52,5003281270508;29,0001312508203;6,315;0;69,78;1;0,029379276
"3193";0;0;7,47;0;0;0;0;0;0;0;0;0;5,025;64,5804983021102;0;0,018796455
"3194";0;0;7,407;0;0;0;0;0;0;0;0;0;4,845;59,5739992106186;0;0,018796455
"3195";0;0;7,47;0;0;0;0;0;0;0;0;0;4,62;54,8050200760194;0;0,018796455
"3196";0;6,24500451351651e-17;7,68833244;0;0,0426675599999999;0;0;0;0;0;0;0;5,07;49,5979669224489;0;0,018796455
"3197";0;0;6,8726208;0;1,0113792;2,00000000000001;20;0;0;52,5003281270508;29,0001312508203;0;7,635;70,8390665103307;1;0,02747119
"3198";0;0;8,38546010000001;0;0,200539899999989;0;20;2,00000000000001;0;52,5003281270508;29,0001312508203;0;11,82;87,8420476123551;1;0,02747119
"3199";0;0;5,223387;0;4,306263;2,00000000000001;20;0;0;52,5003281270508;29,0001312508203;0;13,455;103,16750866463;1;0,02747119
"3200";0;0;0;0;10,22175;0,962255000000011;20;1,037745;0;52,5003281270508;29,0001312508203;0;12,015;119,894644710105;1;0,02747119
"3201";0;2,753886;0;0;10,59948;0;0;0;0;0;0;0;11,445;108,149819272017;0;0,002524856
"3202";0;6,64428;0;0;10,7388;0;0;0;0;0;0;0;10,65;97,2293645989091;0;0,002524856
"3203";9,02710999999999;16,829982;0;10,97289;0;0;0;0;0;52,5003281270508;29,0001312508203;0;10,14;115,846350403939;1;0,002524856
"3204";9,09712999999999;11,970621;0;10,90287;0;0;0;0;0;52,5003281270508;29,0001312508203;0;9,675;134,881779951695;1;0,002524856
"3205";0;-1,77635683940025e-15;0,501890999999997;0;10,153299;0;0;0;0;0;0;0;9,45;125,094475571988;0;-0,012872277
"3206";0;4,460532;0;0;10,3941;0;0;0;0;0;0;0;9,165;115,616646704348;0;-0,012872277
"3207";0;4,071051;0;0;10,26999;0;0;0;0;0;0;0;8,835;106,492519430713;0;-0,012872277
"3208";0;1,832391;0;0;10,13823;0;0;0;0;0;0;0;8,925;97,3012092350522;0;-0,012872277
"3209";0;8,88178419700125e-16;3,011499;0;7,229781;0;0;0;0;0;0;0;9,195;87,8628841244439;0;0,064845024
"3210";9,69553999999999;3,753165;0;10,30446;0;0;0;0;0;52,5003281270508;29,0001312508203;0;9,675;106,968293070002;1;0,064845024
"3211";0;2,22044604925031e-16;8,654427;0;1,540773;0;0;0;0;0;0;0;10,455;96,2457930877565;0;0,064845024
"3212";0;8,46545056276682e-16;9,75984393;0;0,118916069999999;0;0;0;0;0;0;0;11,175;84,8301072994424;0;0,064845024
"3213";0;0;9,8019;0;0;0;0;0;0;0;0;0;11,475;73,1429691831351;0;0,02603145
"3214";0;0;9,41013;0;0;0;0;0;9,03917706045775;0;0;8,13525935441197;2,82974064558802;70,1303169251774;0;0,02603145
"3215";0;0;8,586;0;0;0;0;0;10,0333333333333;0;0;9,03;0;69,9549391754355;0;0,02603145
"3216";0;0;7,974;0;0;0;0;0;7,35;0;0;6,615;0;69,78;0;0,02603145
"3217";0;0;7,695;0;0;0;0;0;0;0;0;0;5,25;64,3554983021102;0;0,010530654
"3218";0;0;7,632;0;0;0;0;0;0;0;0;0;5,055;59,1395618773143;0;0,010530654
"3219";0;0;7,569;0;0;0;0;0;0;0;0;0;4,83;54,1616691579098;0;0,010530654
"3220";0;-2,22044604925031e-16;7,65272751;0;0,0422724900000002;0;0;0;0;0;0;0;5,295;48,7312248582738;0;0,010530654
"3221";0;0;0;7,731;0;8,77493060000001;12,269;0,9560694;0;52,5003281270508;29,0001312508203;0;7,98;69,629491943459;1;0,050226097
"3222";0;0;5,4688125;-1,77635683940025e-15;2,4691875;2,00000000000001;20;0;0;52,5003281270508;29,0001312508203;0;12,345;86,1104978780378;1;0,050226097
"3223";0;0;5,27009000000001;0;3,13590999999999;0;20;2,00000000000001;0;52,5003281270508;29,0001312508203;0;14,055;100,840289087502;1;0,050226097
"3224";0;0;2,11705700000001;0;7,04710299999999;0;20;2,00000000000001;0;52,5003281270508;29,0001312508203;0;12,555;117,033244906085;1;0,050226097
"3225";0;1,184829;0;0;9,75861;0;0;0;0;0;0;0;11,955;104,785575087432;0;-0,007644625
