Zeit;Waermebedarf;Strombedarf;DayAhead_Preis;PV;E_Mob
1051200;0,00013384;0,000109461;-20,75373;0;0,00E+00
1054800;0,000166568;0,000110648;-8,381384;0;2,00E+00
1058400;0,000246188;0,000114686;-8,381384;0;2,00E+00
1062000;0,000243745;0,000127253;-8,381384;0;2
1065600;0,000236907;0,000141175;-8,381384;1,01E-05;2,00E+00
1069200;0,00023593;0,000145712;-3,944297;2,89E-05;0,00E+00
1072800;0,000231045;0,000145534;-3,944297;0,000261626;0,00E+00
1076400;0,000224695;0,000146674;-3,944297;0,000563196;0,00E+00
1080000;0,000217857;0,000147536;-3,944297;0,000597398;0,00E+00
1083600;0,000215903;0,000146805;29,686512;0,000536634;0
1087200;0,000215414;0,000146441;29,686512;0,000427739;0
1090800;0,00021688;0,000144846;29,686512;0,000207104;0
1094400;0,000218834;0,000144061;29,686512;2,27E-05;0
1098000;0,000228114;0,000143995;72,80902;0;0
1101600;0,00023593;0,000149683;72,80902;0;0
1105200;0,000240815;0,000151441;72,80902;0;0
1108800;0,000239838;0,000148879;72,80902;0;0
1112400;0,000234465;0,000141076;36,728798;0;0
1116000;0,000213949;0,000134887;36,728798;0;0
1119600;0,000186595;0,000131477;36,728798;0;0
1123200;0,000137259;0,000123919;36,728798;0;0,00E+00
1126800;0,000118207;0,000114997;28,233088;0;0,00E+00
1130400;0,000125689;0,000110642;28,233088;0;0,00E+00
1134000;0,000127185;0,000107443;28,233088;0;0,00E+00
1137600;0,000136662;0,000106301;28,233088;0;0,00E+00
1141200;0,000170079;0,00010664;31,888176;0;2,00E+00
1144800;0,000251378;0,000110893;31,888176;0;2,00E+00
1148400;0,000248884;0,00012265;31,888176;0;2
1152000;0,000241901;0,000135857;31,888176;0,00E+00;2,00E+00
1155600;0,000240903;0,000140121;-25,821344;1,73E-05;0,00E+00
1159200;0,000235916;0,000140391;-25,821344;3,71E-05;0,00E+00
1162800;0,000229432;0,000141514;-25,821344;3,87E-05;0,00E+00
1166400;0,000222449;0,000142935;-25,821344;6,64E-05;0,00E+00
1170000;0,000220454;0,000142857;2,33859;7,11E-05;0
1173600;0,000219955;0,000141774;2,33859;6,08E-05;0
1177200;0,000221452;0,000139648;2,33859;2,80E-05;0
1180800;0,000223447;0,000138197;2,33859;1,41E-05;0
1184400;0,000232923;0,000137622;-13,651824;0,00E+00;0
1188000;0,000240903;0,000143461;-13,651824;0,00E+00;0
1191600;0,000245891;0,000145344;-13,651824;0,00E+00;0
1195200;0,000244894;0,000142818;-13,651824;0,00E+00;0
1198800;0,000239407;0,000135747;22,131811;0,00E+00;0
1202400;0,000218459;0,00012941;22,131811;0,00E+00;0
1206000;0,000190528;0,000126088;22,131811;0,00E+00;0
1209600;0,000140153;0,000118249;22,131811;0,00E+00;0,00E+00
1213200;0,00011659;0,000111898;56,762386;0,00E+00;0,00E+00
1216800;0,000123969;0,000107666;56,762386;0,00E+00;0,00E+00
1220400;0,000125445;0,000105298;56,762386;0,00E+00;0,00E+00
1224000;0,000134792;0,00010425;56,762386;0,00E+00;0,00E+00
1227600;0,000167752;0,000105277;70,162575;0,00E+00;0,00E+00
1231200;0,000247939;0,000109491;70,162575;0,00E+00;0,00E+00
1234800;0,000245479;0,000120703;70,162575;0,00E+00;0
1238400;0,000238592;0,000134332;70,162575;3,32E-06;0,00E+00
