Nr;Sekunden;PV_West_kW;PV_Sued_kW;PV_Ost_kW;Strombedarf_kW;u_Spot_EuroMWh;TWWH1_kW;TWWH2_kW;TWWH3_kW;TWWH4_kW;TWWH5_kW;TWWH6_kW;HeizwaermeH1_kW;HeizwaermeH2_kW;HeizwaermeH3_kW;HeizwaermeH4_kW;HeizwaermeH5_kW;HeizwaermeH6_kW;Temperatur_degC;;;;;;;;
48;42300;1,31E+00;5,35E-01;1,29E+00;5,351777;27,7;7,19275512;6,40572228;5,50696728;3,34E+00;5,56685076;1,83E+00;1,5228;1,11498;1,33683;1,34838;1,81091;2,14748;7,2;;;;;;;;
49;43200;1,55E+00;6,50E-01;1,48E+00;5,543769;28,7;0;0;0;0;0;0;1,86439;1,47349;1,70771;1,72032;2,16891;2,51775;7,3;;;;;;;;
50;44100;1,80E+00;7,81E-01;1,68E+00;5,543769;28,7;0;0;0;0;0;0;1,86439;1,47349;1,70771;1,72032;2,16891;2,51775;7,3;;;;;;;;
51;45000;2,03E+00;9,11E-01;1,86E+00;5,543769;28,7;0;0;0;0;0;2,27E+00;1,86439;1,47349;1,70771;1,72032;2,16891;2,51775;7,3;;;;;;;;
52;45900;2,36E+00;1,16E+00;2,06E+00;5,543769;28,7;4,31E+00;2,56E+00;3,21E+00;4,59E+00;6,95855088;6,47395224;1,86439;1,47349;1,70771;1,72032;2,16891;2,51775;7,3;;;;;;;;
53;46800;2,78E+00;1,57E+00;2,33E+00;5,51977;29,7;0;0;0;0;0;0;2,63641;2,27829;2,38699;2,41018;2,8889;3,25072;9,3;;;;;;;;
54;47700;3,04E+00;1,95E+00;2,60E+00;5,51977;29,7;0;0;0;0;0;0;2,63641;2,27829;2,38699;2,41018;2,8889;3,25072;9,3;;;;;;;;
55;48600;3,01E+00;2,15E+00;2,76E+00;5,51977;29,7;1,44E+00;0;0;0;0;0;2,63641;2,27829;2,38699;2,41018;2,8889;3,25072;9,3;;;;;;;;
56;49500;2,75E+00;2,19E+00;2,77E+00;5,51977;29,7;1,31E+00;2,56E+00;5,50696728;2,50E+00;3,71E+00;6,8310408;2,63641;2,27829;2,38699;2,41018;2,8889;3,25072;9,3;;;;;;;;
57;50400;2,39E+00;1,79E+00;2,62E+00;5,471772;35,3;0;0;0;0;0;0;3,09758;2,72973;2,72007;2,74189;3,24847;3,62229;8;;;;;;;;
58;51300;2,09E+00;1,55E+00;2,46E+00;5,471772;35,3;0;0;0;0;0;0;3,09758;2,72973;2,72007;2,74189;3,24847;3,62229;8;;;;;;;;
59;52200;1,86E+00;1,44E+00;2,37E+00;5,471772;35,3;0;0;0;3,79E+00;0;0;3,09758;2,72973;2,72007;2,74189;3,24847;3,62229;8;;;;;;;;
60;53100;1,73E+00;1,56E+00;2,45E+00;5,471772;35,3;5,75424432;2,13E+00;3,67E+00;6,26031252;6,49200276;5,01E+00;3,09758;2,72973;2,72007;2,74189;3,24847;3,62229;8;;;;;;;;
61;54000;1,60E+00;1,82E+00;2,71E+00;5,495771;44,1;0;0;0;0;0;0;3,21383;2,84287;2,80197;2,82317;3,34059;3,71548;6,5;;;;;;;;
62;54900;1,46E+00;2,14E+00;3,08E+00;5,495771;44,1;0;8,50E-01;0;0;0;0;3,21383;2,84287;2,80197;2,82317;3,34059;3,71548;6,5;;;;;;;;
63;55800;1,30E+00;2,49E+00;3,55E+00;5,495771;44,1;0;4,86E+00;1,67E+00;0;0;0;3,21383;2,84287;2,80197;2,82317;3,34059;3,71548;6,5;;;;;;;;
64;56700;1,08E+00;2,59E+00;3,7825723;5,495771;44,1;7,19275512;6,40572228;6,88373424;6,26031252;1,86E+00;1,83E+00;3,21383;2,84287;2,80197;2,82317;3,34059;3,71548;6,5;;;;;;;;
65;57600;7,81E-01;2,2327427;3,4147441;5,783759;51,6;0;0;0;0;0;0;3,64097;3,25203;3,07225;3,10638;3,66909;4,0356;5,4;;;;;;;;
66;58500;0,47844543;1,8221788;2,9311472;5,783759;51,6;0;0;0;0;9,25E-01;0;3,64097;3,25203;3,07225;3,10638;3,66909;4,0356;5,4;;;;;;;;
67;59400;0,38334747;1,0044717;1,7940925;5,783759;51,6;0;0;0;0;5,2821654;2,30E+00;3,64097;3,25203;3,07225;3,10638;3,66909;4,0356;5,4;;;;;;;;
68;60300;0,31226117;0,40984274;0,8396618;5,783759;51,6;7,19275512;6,40572228;6,88373424;5,01E+00;6,95855088;6,8310408;3,64097;3,25203;3,07225;3,10638;3,66909;4,0356;5,4;;;;;;;;
69;61200;0,18321773;0,10157877;0,25101894;6,191742;54;0;0;0;0;0;0;3,79828;3,40558;3,17773;3,21133;3,76127;4,13384;4,5;;;;;;;;
70;62100;0,04962953;0,019868134;0,049630405;6,191742;54;0;0;0;0;0;0;3,79828;3,40558;3,17773;3,21133;3,76127;4,13384;4,5;;;;;;;;
71;63000;0;0;0;6,191742;54;0;0;0;0;0;0;3,79828;3,40558;3,17773;3,21133;3,76127;4,13384;4,5;;;;;;;;
72;63900;0;0;0;6,191742;54;3,83E+00;5,12458788;6,88373424;3,34E+00;6,95855088;6,8310408;3,79828;3,40558;3,17773;3,21133;3,76127;4,13384;4,5;;;;;;;;
73;64800;0;0;0;6,311737;51;0;0;0;0;2,51E+00;0;3,79828;3,40558;3,17773;3,21133;3,76127;4,13384;3,9;;;;;;;;
74;65700;0;0;0;6,311737;51;0;0;0;0;0;0;3,79828;3,40558;3,17773;3,21133;3,76127;4,13384;3,9;;;;;;;;
75;66600;0;0;0;6,311737;51;0;0;0;0;0;0;3,79828;3,40558;3,17773;3,21133;3,76127;4,13384;3,9;;;;;;;;
76;67500;0;0;0;6,311737;51;7,19275512;5,97623052;6,88373424;5,84057508;6,95855088;5,01E+00;3,79828;3,40558;3,17773;3,21133;3,76127;4,13384;3,9;;;;;;;;
77;68400;0;0;0;6,191742;44,9;0;0;0;0;0;0;3,97417;3,58076;3,30897;3,33817;3,8829;4,26875;3,8;;;;;;;;
78;69300;0;0;0;6,191742;44,9;0;0;0;0;0;0;3,97417;3,58076;3,30897;3,33817;3,8829;4,26875;3,8;;;;;;;;
79;70200;0;0;0;6,191742;44,9;0;0;0;0;0;0;3,97417;3,58076;3,30897;3,33817;3,8829;4,26875;3,8;;;;;;;;
80;71100;0;0;0;6,191742;44,9;4,31E+00;3,41E+00;5,9684874;3,34E+00;4,17E+00;4,10E+00;3,97417;3,58076;3,30897;3,33817;3,8829;4,26875;3,8;;;;;;;;
81;72000;0;0;0;5,975751;38,8;0;0;0;0;0;0;4,01317;3,61741;3,30913;3,34612;3,89597;4,27042;3,5;;;;;;;;
82;72900;0;0;0;5,975751;38,8;0;0;0;0;0;0;4,01317;3,61741;3,30913;3,34612;3,89597;4,27042;3,5;;;;;;;;
83;73800;0;0;0;5,975751;38,8;0;0;0;0;0;0;4,01317;3,61741;3,30913;3,34612;3,89597;4,27042;3,5;;;;;;;;
84;74700;0;0;0;5,975751;38,8;2,88E+00;3,12E+00;1,84E+00;3,05E+00;3,71E+00;2,42E+00;4,01317;3,61741;3,30913;3,34612;3,89597;4,27042;3,5;;;;;;;;
85;75600;0;0;0;5,831757;42,2;5,40273684;0;2,76E+00;0;0;5,79859128;4,01317;3,61741;3,30913;3,34612;3,89597;4,27042;2,8;;;;;;;;
86;76500;0;0;0;5,831757;42,2;0;0;4,71E+00;0;0;0;4,01317;3,61741;3,30913;3,34612;3,89597;4,27042;2,8;;;;;;;;
87;77400;0;0;0;5,831757;42,2;0;0;0;0;0;0;4,01317;3,61741;3,30913;3,34612;3,89597;4,27042;2,8;;;;;;;;
88;78300;0;0;0;5,831757;42,2;7,19275512;6,40572228;6,88373424;6,26031252;1,86E+00;6,8310408;4,01317;3,61741;3,30913;3,34612;3,89597;4,27042;2,8;;;;;;;;
89;79200;0;0;0;5,951752;33,1;5,9503866;9,30E-01;6,02324232;8,55E-01;2,48E+00;5,8141278;3,90453;3,51828;3,20566;3,24253;3,76795;4,1334;3;;;;;;;;
90;80100;0;0;0;5,951752;33,1;0;0;0;0;0;0;3,90453;3,51828;3,20566;3,24253;3,76795;4,1334;3;;;;;;;;
91;81000;0;0;0;5,951752;33,1;0;0;0;0;0;0;3,90453;3,51828;3,20566;3,24253;3,76795;4,1334;3;;;;;;;;
92;81900;0;0;0;5,951752;33,1;7,19275512;6,40572228;6,88373424;6,26031252;6,95855088;6,8310408;3,90453;3,51828;3,20566;3,24253;3,76795;4,1334;3;;;;;;;;
93;82800;0;0;0;5,687763;30,5;3,21E+00;0;2,56E+00;0;6,08870688;5,80638468;3,87826;3,49441;3,18449;3,22037;3,73698;4,10237;3;;;;;;;;
94;83700;0;0;0;5,687763;30,5;0;0;0;0;0;0;3,87826;3,49441;3,18449;3,22037;3,73698;4,10237;3;;;;;;;;
95;84600;0;0;0;5,687763;30,5;0;0;0;0;0;0;3,87826;3,49441;3,18449;3,22037;3,73698;4,10237;3;;;;;;;;
96;85500;0;0;0;5,687763;30,5;7,19275512;1,28E+00;6,88373424;1,67E+00;6,95855088;6,8310408;3,87826;3,49441;3,18449;3,22037;3,73698;4,10237;3;;;;;;;;
97;86400;0;0;0;5,375776;28,9;0;0;0;0;0;0;3,61192;3,23725;2,97748;3,00706;3,45803;3,82797;3,3;;;;;;;;
98;87300;0;0;0;5,375776;28,9;0;0;0;0;0;0;3,61192;3,23725;2,97748;3,00706;3,45803;3,82797;3,3;;;;;;;;
99;88200;0;0;0;5,375776;28,9;0;0;0;0;0;0;3,61192;3,23725;2,97748;3,00706;3,45803;3,82797;3,3;;;;;;;;
100;89100;0;0;0;5,375776;28,9;0;1,28E+00;0;8,35E-01;0;0;3,61192;3,23725;2,97748;3,00706;3,45803;3,82797;3,3;;;;;;;;
101;90000;0;0;0;5,111787;28,1;0;0;0;0;0;0;3,55461;3,20643;2,91325;2,93271;3,39511;3,76034;3,7;;;;;;;;
102;90900;0;0;0;5,111787;28,1;0;0;0;0;0;0;3,55461;3,20643;2,91325;2,93271;3,39511;3,76034;3,7;;;;;;;;
103;91800;0;0;0;5,111787;28,1;0;0;0;0;0;0;3,55461;3,20643;2,91325;2,93271;3,39511;3,76034;3,7;;;;;;;;
104;92700;0;0;0;5,111787;28,1;0;1,28E+00;0;8,35E-01;0;0;3,55461;3,20643;2,91325;2,93271;3,39511;3,76034;3,7;;;;;;;;
105;93600;0;0;0;4,991792;27,9;0;0;0;0;0;0;3,74527;3,40927;3,03881;3,05233;3,55527;3,92846;5,2;;;;;;;;
106;94500;0;0;0;4,991792;27,9;0;0;0;0;0;0;3,74527;3,40927;3,03881;3,05233;3,55527;3,92846;5,2;;;;;;;;
107;95400;0;0;0;4,991792;27,9;0;0;0;0;0;0;3,74527;3,40927;3,03881;3,05233;3,55527;3,92846;5,2;;;;;;;;
108;96300;0;0;0;4,991792;27,9;0;1,28E+00;0;8,35E-01;0;0;3,74527;3,40927;3,03881;3,05233;3,55527;3,92846;5,2;;;;;;;;
109;97200;0;0;0;4,919795;27,7;0;0;0;0;0;0;3,74527;3,40927;3,03881;3,05233;3,55527;3,92846;5;;;;;;;;
110;98100;0;0;0;4,919795;27,7;0;0;0;0;0;0;3,74527;3,40927;3,03881;3,05233;3,55527;3,92846;5;;;;;;;;
111;99000;0;0;0;4,919795;27,7;0;0;0;0;0;0;3,74527;3,40927;3,03881;3,05233;3,55527;3,92846;5;;;;;;;;
112;99900;0;0;0;4,919795;27,7;0;1,28E+00;6,88373424;1,25E+00;6,95855088;1,83E+00;3,74527;3,40927;3,03881;3,05233;3,55527;3,92846;5;;;;;;;;
113;100800;0;0;0;4,919795;31,2;0;0;0;0;2,86E+00;0;3,82675;3,48463;3,09068;3,10524;3,62055;3,98914;5;;;;;;;;
114;101700;0;0;0;4,919795;31,2;0;0;0;0;0;0;3,82675;3,48463;3,09068;3,10524;3,62055;3,98914;5;;;;;;;;
115;102600;0;0;0;4,919795;31,2;0;0;0;0;0;0;3,82675;3,48463;3,09068;3,10524;3,62055;3,98914;5;;;;;;;;
116;103500;0;0;0;4,919795;31,2;1,92E+00;1,28E+00;1,84E+00;8,35E-01;6,95855088;1,83E+00;3,82675;3,48463;3,09068;3,10524;3,62055;3,98914;5;;;;;;;;
117;104400;0;0;0;4,871797;38;0;0;0;0;0;0;3,8525;3,50946;3,11655;3,13366;3,64581;4,01673;4,6;;;;;;;;
118;105300;0;0;0;4,871797;38;0;0;0;0;0;0;3,8525;3,50946;3,11655;3,13366;3,64581;4,01673;4,6;;;;;;;;
119;106200;0;0;0;4,871797;38;0;0;0;0;0;0;3,8525;3,50946;3,11655;3,13366;3,64581;4,01673;4,6;;;;;;;;
120;107100;0;0;0;4,871797;38;2,39E+00;1,28E+00;1,84E+00;1,67E+00;1,86E+00;3,19E+00;3,8525;3,50946;3,11655;3,13366;3,64581;4,01673;4,6;;;;;;;;
121;108000;0;0;0;4,7998;51;0;0;0;0;0;0;3,90308;3,53958;3,19512;3,21869;3,7072;4,0799;4,6;;;;;;;;
122;108900;0;0;0;4,7998;51;0;0;0;0;0;0;3,90308;3,53958;3,19512;3,21869;3,7072;4,0799;4,6;;;;;;;;
123;109800;0;0;0;4,7998;51;0;0;0;0;0;0;3,90308;3,53958;3,19512;3,21869;3,7072;4,0799;4,6;;;;;;;;
124;110700;0;0;0;4,7998;51;6,71051964;3,84E+00;5,04544716;3,76E+00;1,86E+00;1,83E+00;3,90308;3,53958;3,19512;3,21869;3,7072;4,0799;4,6;;;;;;;;
125;111600;0;0;0;5,087788;53,9;0;0;0;0;0;0;3,12272;2,71919;2,91208;2,93864;3,33255;3,64567;4,1;;;;;;;;
126;112500;0;0;0;5,087788;53,9;0;0;0;0;0;0;3,12272;2,71919;2,91208;2,93864;3,33255;3,64567;4,1;;;;;;;;
127;113400;0;0;0;5,087788;53,9;0;0;0;0;0;0;3,12272;2,71919;2,91208;2,93864;3,33255;3,64567;4,1;;;;;;;;
128;114300;0;0;0,00E+00;5,087788;53,9;5,27195856;3,84E+00;3,21E+00;3,76E+00;6,95855088;4,10E+00;3,12272;2,71919;2,91208;2,93864;3,33255;3,64567;4,1;;;;;;;;
129;115200;0;0,00E+00;0,00E+00;5,51977;53,9;0;0;0;0;0;0;2,18026;1,67551;2,29479;2,32084;2,79072;3,07692;3,6;;;;;;;;
130;116100;0,00E+00;0,00E+00;0,00E+00;5,51977;53,9;0;0;0;0;0;0;2,18026;1,67551;2,29479;2,32084;2,79072;3,07692;3,6;;;;;;;;
131;117000;0,00E+00;0,00E+00;0,00E+00;5,51977;53,9;0;2,13E+00;0;0;0;0;2,18026;1,67551;2,29479;2,32084;2,79072;3,07692;3,6;;;;;;;;
132;117900;4,85E-03;1,98E-03;4,85E-03;5,51977;53,9;3,36E+00;1,68E+00;3,21E+00;3,76E+00;6,0333486;4,10E+00;2,18026;1,67551;2,29479;2,32084;2,79072;3,07692;3,6;;;;;;;;
133;118800;2,54E-02;1,03E-02;2,54E-02;5,927753;53,5;0;3,77E+00;0;0;0;0;2,59054;2,16387;2,28501;2,30952;2,90179;3,26769;3,8;;;;;;;;
134;119700;7,23E-02;2,87E-02;7,23E-02;5,927753;53,5;0;0;0;0;0;0;2,59054;2,16387;2,28501;2,30952;2,90179;3,26769;3,8;;;;;;;;
135;120600;1,61E-01;6,18E-02;1,61E-01;5,927753;53,5;0;0;0;0;0;0;2,59054;2,16387;2,28501;2,30952;2,90179;3,26769;3,8;;;;;;;;
136;121500;3,58E-01;1,37E-01;3,51E-01;5,927753;53,5;2,88E+00;6,40572228;3,21E+00;2,50E+00;6,0333486;2,27E+00;2,59054;2,16387;2,28501;2,30952;2,90179;3,26769;3,8;;;;;;;;
137;122400;6,62E-01;2,60E-01;6,36E-01;6,143744;54,9;0;0;0;0;0;0;2,77441;2,39901;2,42352;2,44922;2,96677;3,33198;4,2;;;;;;;;
138;123300;9,80E-01;3,91E-01;9,35E-01;6,143744;54,9;0;0;0;0;0;0;2,77441;2,39901;2,42352;2,44922;2,96677;3,33198;4,2;;;;;;;;
139;124200;1,27E+00;5,12E-01;1,15E+00;6,143744;54,9;0;0;4,59E-01;0;0;0;2,77441;2,39901;2,42352;2,44922;2,96677;3,33198;4,2;;;;;;;;
140;125100;1,47E+00;6,03E-01;1,30E+00;6,143744;54,9;1,44E+00;7,34E-01;1,84E+00;6,26031252;1,86E+00;6,8310408;2,77441;2,39901;2,42352;2,44922;2,96677;3,33198;4,2;;;;;;;;
141;126000;1,68E+00;6,97E-01;1,45E+00;6,335736;54,1;0;0;0;2,21E+00;0;0;2,93602;2,58608;2,55208;2,57675;3,07037;3,432;3,7;;;;;;;;
142;126900;1,87E+00;7,96E-01;1,60E+00;6,335736;54,1;0;0;0;0;0;0;2,93602;2,58608;2,55208;2,57675;3,07037;3,432;3,7;;;;;;;;
143;127800;2,07E+00;9,01E-01;1,74E+00;6,335736;54,1;0;0;0;0;0;0;2,93602;2,58608;2,55208;2,57675;3,07037;3,432;3,7;;;;;;;;
144;128700;2,59E+00;1,22E+00;1,90E+00;6,335736;54,1;7,19275512;4,70E+00;6,88373424;6,26031252;1,86E+00;6,8310408;2,93602;2,58608;2,55208;2,57675;3,07037;3,432;3,7;;;;;;;;
145;129600;3,61E+00;1,96E+00;2,00E+00;6,407733;55,7;0;0;0;0;3,08E+00;0;3,18098;2,84429;2,70809;2,72113;3,23652;3,594;4,2;;;;;;;;
146;130500;4,43E+00;2,68E+00;2,14E+00;6,407733;55,7;0;0;0;0;0;0;3,18098;2,84429;2,70809;2,72113;3,23652;3,594;4,2;;;;;;;;
147;131400;4,92E+00;3,28E+00;2,24E+00;6,407733;55,7;0;0;0;0;0;0;3,18098;2,84429;2,70809;2,72113;3,23652;3,594;4,2;;;;;;;;
